year,month,product,country,volume_kg,value_usd
2023,01,"BONITO,YELLOWTAIL,POLLOCK CANNED NOT IN OIL",VIETNAM,261296,806010
2023,01,BUTTERFISH FROZEN,BRAZIL,40571,120867
2023,01,BUTTERFISH FROZEN,CHINA,206753,494280
2023,01,BUTTERFISH FROZEN,GUYANA,2853,12580
2023,01,CAPELIN FROZEN,CANADA,5624,11158
2023,01,CAPELIN FROZEN,JAPAN,300,2183
2023,01,CAPELIN FROZEN,NORWAY,24075,29850
2023,01,CARP NSPF FROZEN,BANGLADESH,562,9357
2023,01,CARP NSPF FROZEN,BURMA,75624,219581
2023,01,CARP NSPF FROZEN,VIETNAM,4763,16301
2023,01,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA DRIED",NIGERIA,1918,24910
2023,01,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA DRIED",SOUTH KOREA,8395,123914
2023,01,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA FILLET DRIED/SALTED/BRINE",NORWAY,123417,477500
2023,01,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA FILLET DRIED/SALTED/BRINE",SOUTH KOREA,274,2112
2023,01,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA SMOKED",GHANA,1169,10256
2023,01,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA SMOKED",NIGERIA,307,2250
2023,01,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA SMOKED",SIERRA LEONE,5180,35000
2023,01,"CARP,CATFISH,EELS,SNAKEHEAD,TILAPIA FROZEN NOT > 6.8KG",VIETNAM,342,4868
2023,01,"CARP,CATFISH,EELS,SNAKEHEAD,TILAPIA MEAT FROZEN > 6.8KG",CHINA,20208,109148
2023,01,"CARP,EELS,SNAKEHEAD FILLET FROZEN",CHINA,48082,200200
2023,01,"CARP,EELS,SNAKEHEAD FILLET FROZEN",SURINAME,41401,241871
2023,01,CATFISH (ICTALURUS) FILLET FROZEN,CHINA,576081,2736164
2023,01,CATFISH (ICTALURUS) FILLET FROZEN,VIETNAM,38102,252035
2023,01,CATFISH (ICTALURUS) FROZEN,CHINA,414870,851967
2023,01,CATFISH (PANGASIUS) FILLET FROZEN,VIETNAM,6070643,19192835
2023,01,CATFISH (PANGASIUS) FROZEN,VIETNAM,37814,129850
2023,01,CATFISH NSPF FROZEN,THAILAND,15582,93942
2023,01,CATFISH NSPF FROZEN,VIETNAM,39803,178230
2023,01,CAVIAR,ARMENIA,70,7148
2023,01,CAVIAR,BELGIUM,127,85731
2023,01,CAVIAR,BULGARIA,55,49873
2023,01,CAVIAR,CHINA,6464,1604379
2023,01,CAVIAR,FRANCE,315,228604
2023,01,CAVIAR,GERMANY,822,461658
2023,01,CAVIAR,GREECE,289,87276
2023,01,CAVIAR,ITALY,396,92799
2023,01,CAVIAR,LATVIA,28,2357
2023,01,CAVIAR,POLAND,620,193541
2023,01,CAVIAR,UKRAINE,11,7680
2023,01,CAVIAR,URUGUAY,65,39297
2023,01,CAVIAR SUBSTITUTE BOILED IN ATC,BELARUS,686,4620
2023,01,CAVIAR SUBSTITUTE BOILED IN ATC,ITALY,3119,43659
2023,01,CAVIAR SUBSTITUTE BOILED IN ATC,SPAIN,71,3418
2023,01,CAVIAR SUBSTITUTE OTHER PREPARATIONS,ARMENIA,276,14488
2023,01,CAVIAR SUBSTITUTE OTHER PREPARATIONS,BELARUS,3886,14796
2023,01,CAVIAR SUBSTITUTE OTHER PREPARATIONS,CANADA,2248,112831
2023,01,CAVIAR SUBSTITUTE OTHER PREPARATIONS,CHINA,1874,349454
2023,01,CAVIAR SUBSTITUTE OTHER PREPARATIONS,DENMARK,1343,81908
2023,01,CAVIAR SUBSTITUTE OTHER PREPARATIONS,FRANCE,420,24794
2023,01,CAVIAR SUBSTITUTE OTHER PREPARATIONS,GREECE,126,8233
2023,01,CAVIAR SUBSTITUTE OTHER PREPARATIONS,ICELAND,18000,325346
2023,01,CAVIAR SUBSTITUTE OTHER PREPARATIONS,ITALY,154,11713
2023,01,CAVIAR SUBSTITUTE OTHER PREPARATIONS,JAPAN,20386,401369
2023,01,CAVIAR SUBSTITUTE OTHER PREPARATIONS,LITHUANIA,1968,13133
2023,01,CAVIAR SUBSTITUTE OTHER PREPARATIONS,NETHERLANDS,870,197868
2023,01,CAVIAR SUBSTITUTE OTHER PREPARATIONS,NORWAY,148,2089
2023,01,CAVIAR SUBSTITUTE OTHER PREPARATIONS,SOUTH KOREA,5230,87001
2023,01,CAVIAR SUBSTITUTE OTHER PREPARATIONS,SPAIN,590,7631
2023,01,CAVIAR SUBSTITUTE OTHER PREPARATIONS,TAIWAN,42982,681565
2023,01,CAVIAR SUBSTITUTE OTHER PREPARATIONS,UKRAINE,497,3519
2023,01,CAVIAR SUBSTITUTE OTHER PREPARATIONS,UNITED KINGDOM,100,2382
2023,01,CLAM GEODUCK FROZEN,NETHERLANDS,500,2475
2023,01,CLAM GEODUCK LIVE/FRESH,MEXICO,2240,6105
2023,01,CLAM JUICE,NETHERLANDS,14572,41848
2023,01,CLAM NSPF BOILED CANNED WHETHER OR NOT MINCED/CHOP > 0.68KG,CHILE,70273,429418
2023,01,CLAM NSPF BOILED CANNED WHETHER OR NOT MINCED/CHOP > 0.68KG,CHINA,115436,223285
2023,01,CLAM NSPF BOILED CANNED WHETHER OR NOT MINCED/CHOP > 0.68KG,SPAIN,136,8859
2023,01,CLAM NSPF BOILED CANNED WHETHER OR NOT MINCED/CHOP > 0.68KG,THAILAND,31618,85765
2023,01,CLAM NSPF BOILED CANNED WHETHER OR NOT MINCED/CHOP > 0.68KG,VIETNAM,131906,391967
2023,01,CLAM NSPF BOILED CANNED WHETHER OR NOT MINCED/CHOP NOT > 0.68KG,CHINA,10188,28980
2023,01,CLAM NSPF BOILED CANNED WHETHER OR NOT MINCED/CHOP NOT > 0.68KG,INDONESIA,117434,398891
2023,01,CLAM NSPF BOILED CANNED WHETHER OR NOT MINCED/CHOP NOT > 0.68KG,NETHERLANDS,48082,108995
